@id,@lon,@lat,crossing,step_count,surface,incline,highway,step,sidewalk,any
127882,-2.6035872,51.4379162,uncontrolled,,,,crossing,,,crossing
127889,-2.5953785,51.4410956,traffic_signals,,,,crossing,,,crossing
17393029,-2.5656322,51.4743548,uncontrolled,,,,crossing,,,crossing
17406721,-2.5932835,51.4535706,traffic_signals,,,,traffic_signals,,,crossing
17476821,-2.5838056,51.458394,traffic_signals,,,,crossing,,,crossing
17476871,-2.5840305,51.458379,traffic_signals,,,,crossing,,,crossing
17476875,-2.58406,51.4596178,toucan,,,,crossing,,,crossing
17486544,-2.5970585,51.4534866,traffic_signals,,,,traffic_signals,,,crossing
17502431,-2.6157147,51.4714918,uncontrolled,,,,crossing,,,crossing
17502434,-2.6161014,51.47407,traffic_signals,,,,traffic_signals,,,crossing
17565129,-2.5704833,51.4637511,zebra,,,,crossing,,,crossing
17565807,-2.5691175,51.4659476,uncontrolled,,,,crossing,,,crossing
17566413,-2.5355524,51.4778507,zebra,,,,crossing,,,crossing
17585130,-2.6081676,51.4560705,traffic_signals,,,,traffic_signals,,,crossing
17653681,-2.563041,51.4563492,zebra,,,,crossing,,,crossing
17653714,-2.5417082,51.4608803,traffic_signals,,,,crossing,,,crossing
17653728,-2.5295673,51.4609848,zebra,,,,crossing,,,crossing
18483014,-2.6032522,51.449154,uncontrolled,,,,crossing,,,crossing
18483654,-2.600022,51.4509085,traffic_signals,,,,traffic_signals,,,crossing
19866634,-2.5496729,51.4862881,uncontrolled,,,,crossing,,,crossing
19875361,-2.5839434,51.4652934,uncontrolled,,,,crossing,,,crossing
19875374,-2.5872026,51.4635247,traffic_signals,,,,traffic_signals,,,crossing
19999048,-2.5913647,51.4589519,traffic_signals,,,,crossing,,,crossing
21031978,-2.6323862,51.4670792,island,,,,crossing,,,crossing
21033148,-2.6875345,51.4898651,traffic_signals,,,,crossing,,,crossing
21033155,-2.677147,51.4851424,traffic_signals,,,,crossing,,,crossing
21529946,-2.6199088,51.4579354,island,,,,crossing,,,crossing
21529948,-2.6184945,51.4582155,uncontrolled,,,,crossing,,,crossing
21531883,-2.5993264,51.446188,traffic_signals,,,,traffic_signals,,,crossing
21659976,-2.6214431,51.4907588,traffic_signals,,,,traffic_signals,,,crossing
25280236,-2.6120523,51.4806084,uncontrolled,,,,crossing,,,crossing
25280250,-2.6090988,51.4876818,uncontrolled,,,,crossing,,,crossing
25943882,-2.5294252,51.4819926,uncontrolled,,,,crossing,,,crossing
25944647,-2.5393791,51.4825369,uncontrolled,,,,crossing,,,crossing
26136107,-2.5725726,51.4975176,traffic_signals,,,,crossing,,,crossing
26139231,-2.6172925,51.4187466,uncontrolled,,,,crossing,,,crossing
26178512,-2.6093663,51.4723226,zebra,,,,crossing,,,crossing
26190226,-2.6137144,51.449487,traffic_signals,,,,crossing,,,crossing
26215510,-2.6155112,51.4598909,uncontrolled,,,,crossing,,,crossing
26215539,-2.6137838,51.4581405,uncontrolled,,,,crossing,,,crossing
26229846,-2.5967825,51.4520104,traffic_signals,,,,crossing,,,crossing
26243165,-2.6001956,51.442458,uncontrolled,,,,crossing,,,crossing
26518704,-2.5850569,51.4454111,traffic_signals,,,,crossing,,,crossing
26518706,-2.5856427,51.4459099,traffic_signals,,,,crossing,,,crossing
27046106,-2.5986567,51.4365805,traffic_signals,,,,crossing,,,crossing
27419811,-2.5908272,51.4492693,uncontrolled,,,,crossing,,,crossing
29825961,-2.5957294,51.4288047,uncontrolled,,,,crossing,,,crossing
30346421,-2.5574172,51.4617273,uncontrolled,,,,crossing,,,crossing
30346510,-2.5465382,51.4645336,uncontrolled,,,,crossing,,,crossing
30347545,-2.5709142,51.4634092,traffic_signals,,,,crossing,,,crossing
32431974,-2.5586711,51.4450823,traffic_signals,,,,crossing,,,crossing
60640551,-2.6032429,51.4926424,uncontrolled,,,,crossing,,,crossing
60640558,-2.5968328,51.4918253,uncontrolled,,,,crossing,,,crossing
117720634,-2.576864,51.4590886,uncontrolled,,,,crossing,,,crossing
117720637,-2.5766433,51.4591451,uncontrolled,,,,crossing,,,crossing
150535711,-2.5485594,51.4455309,uncontrolled,,,,crossing,,,crossing
199594389,-2.6222603,51.493044,traffic_signals,,,,traffic_signals,,,crossing
242578485,-2.5914698,51.4570172,traffic_signals,,,,traffic_signals,,,crossing
242756955,-2.591956,51.4578866,traffic_signals,,,,traffic_signals,,,crossing
242767628,-2.5935583,51.4533954,uncontrolled,,,,crossing,,,crossing
242783057,-2.6005034,51.4591676,uncontrolled,,,,crossing,,,crossing
242790326,-2.601963,51.4609476,uncontrolled,,,,crossing,,,crossing
242790327,-2.6037797,51.4626563,uncontrolled,,,,crossing,,,crossing
242790338,-2.6062205,51.4652824,uncontrolled,,,,crossing,,,crossing
242790349,-2.6077901,51.4671727,uncontrolled,,,,crossing,,,crossing
242790356,-2.6088242,51.4687096,uncontrolled,,,,crossing,,,crossing
242812913,-2.6219582,51.5089083,uncontrolled,,,,crossing,,,crossing
242812916,-2.6198534,51.5093807,uncontrolled,,,,crossing,,,crossing
243076635,-2.5167025,51.4845112,zebra,,,,crossing,,,crossing
243076638,-2.5227798,51.4822255,pelican,,,,traffic_signals,,,crossing
