@id,@lon,@lat,crossing,step_count,surface,incline,highway,step,sidewalk,any
30972881,-3.2247296,51.5159764,zebra,,,,crossing,,,crossing
30972885,-3.2297834,51.5188729,uncontrolled,,,,crossing,,,crossing
30994938,-3.2563093,51.473286,traffic_signals,,,,crossing,,,crossing
31571327,-3.2645328,51.5233328,zebra,,,,crossing,,,crossing
31591782,-3.2280858,51.484905,traffic_signals,,,,crossing,,,crossing
31591810,-3.218745,51.4825438,zebra,,,,crossing,,,crossing
33117989,-3.1665253,51.4631379,uncontrolled,,,,crossing,,,crossing
33117995,-3.1663165,51.4639411,uncontrolled,,,,crossing,,,crossing
33189973,-3.1314335,51.5091311,traffic_signals,,,,traffic_signals,,,crossing
79890564,-3.1978075,51.4815305,traffic_signals,,,,crossing,,,crossing
207052985,-3.2191589,51.4829827,zebra,,,,crossing,,,crossing
207065350,-3.2100325,51.4883912,uncontrolled,,,,crossing,,,crossing
207109093,-3.1947261,51.4690599,uncontrolled,,,,crossing,,,crossing
243216502,-3.2518415,51.4705217,unmarked,,,,crossing,,,crossing
243216504,-3.2541147,51.4702652,zebra,,,,crossing,,,crossing
243216507,-3.2591084,51.4706638,pelican,,,,crossing,,,crossing
244026562,-3.2465918,51.4798965,unmarked,,,,,,,crossing
252451139,-3.187864,51.4620963,zebra,,,,crossing,,,crossing
256889010,-3.1808108,51.490264,traffic_signals,,,,crossing,,,crossing
259519723,-3.1502914,51.4910632,traffic_signals,,,,crossing,,,crossing
260314167,-3.1868494,51.4565413,zebra,,,,crossing,,,crossing
263212428,-3.2149795,51.5084249,zebra,,,,crossing,,,crossing
263213586,-3.2241933,51.5156741,zebra,,,,crossing,,,crossing
263217434,-3.1908423,51.4980303,zebra,,,,crossing,,,crossing
263233606,-3.1657799,51.4674616,traffic_signals,,,,crossing,,,crossing
263233798,-3.1666234,51.4686037,traffic_signals,,,,crossing,,,crossing
263233799,-3.1678881,51.4702733,traffic_signals,,,,crossing,,,crossing
263233800,-3.1683136,51.4709685,traffic_signals,,,,crossing,,,crossing
263233801,-3.1692396,51.4720692,traffic_signals,,,,crossing,,,crossing
266770199,-3.1301799,51.5356663,zebra,,,,crossing,,,crossing
286574892,-3.1926994,51.5380456,uncontrolled,,,,crossing,,,crossing
287150563,-3.1925425,51.541241,zebra,,,,crossing,,,crossing
287941796,-3.2277755,51.5086276,zebra,,,,crossing,,,crossing
289668211,-3.1665566,51.4843457,traffic_signals,,,,crossing,,,crossing
325689064,-3.1865003,51.4810928,traffic_signals,,,,crossing,,,crossing
338430533,-3.1758221,51.4841833,traffic_signals,,,,crossing,,,crossing
345635387,-3.1748932,51.4776941,zebra,,,,crossing,,,crossing
457491061,-3.1162086,51.5195317,traffic_signals,,,,traffic_signals,,,crossing
457491261,-3.1166712,51.518968,traffic_signals,,,,traffic_signals,,,crossing
534161303,-3.139019,51.5016216,traffic_signals,,,,crossing,,,crossing
534163429,-3.1331073,51.5082857,traffic_signals,,,,crossing,,,crossing
534165775,-3.1209571,51.5164977,traffic_signals,,,,crossing,,,crossing
544946984,-3.1121678,51.5253075,traffic_signals,,,,traffic_signals,,,crossing
559956265,-3.1437465,51.486073,uncontrolled,,,,crossing,,,crossing
579923294,-3.2391945,51.4797888,traffic_signals,,,,crossing,,,crossing
579924875,-3.236641,51.4811718,traffic_signals,,,,crossing,,,crossing
579931282,-3.2363484,51.481531,pelican,,,,crossing,,,crossing
580026305,-3.2326493,51.4835215,pelican,,,,crossing,,,crossing
580029666,-3.2283072,51.4881047,pelican,,,,crossing,,,crossing
580826069,-3.2417185,51.4840047,zebra,,,,crossing,,,crossing
580841188,-3.2466475,51.4800378,unmarked,,,,,,,crossing
580842632,-3.2442155,51.4815959,zebra,,,,crossing,,,crossing
580843447,-3.2432417,51.4816745,unmarked,,,,crossing,,,crossing
580843466,-3.243307,51.4815996,unmarked,,,,crossing,,,crossing
581059457,-3.1793098,51.4786298,traffic_signals,,,,crossing,,,crossing
