,City,Type,Location,Points.Distance
146,Bristol,bench,1,341.2273703
147,Bristol,bench,2,98.15677422
148,Bristol,bike_parking,1,4.793242861
149,Bristol,bike_parking,2,4.522206766
150,Bristol,bike_parking,3,14.06103674
151,Bristol,bike_parking,4,3.635381505
152,Bristol,bike_parking,5,6.749710185
153,Bristol,bike_parking,6,0.882481199
154,Bristol,bike_parking,7,9.692816508
155,Bristol,bike_parking,8,2.664219531
156,Bristol,bike_parking,9,1.158242034
157,Bristol,bike_parking,10,2.119729432
158,Bristol,bike_parking,11,2.466713997
159,Bristol,bike_parking,12,3.578557321
160,Bristol,bike_parking,13,1.379777554
161,Bristol,bike_parking,14,59.26807848
162,Bristol,bike_parking,15,2.42263199
163,Bristol,bike_parking,16,3.225926594
164,Bristol,bike_parking,17,11.98730183
165,Bristol,bike_parking,18,3.310930514
166,Bristol,bike_parking,19,5.071044757
167,Bristol,bike_parking,20,44.48842055
168,Bristol,bike_parking,21,5.378946332
169,Bristol,bike_parking,22,3.739450498
170,Bristol,bike_parking,23,7.108456752
5,Bristol,bollard,1,41.98505744
6,Bristol,bollard,2,212.2004238
7,Bristol,bollard,3,200.0288215
8,Bristol,bollard,4,138.5687371
9,Bristol,bollard,5,54.13967273
10,Bristol,bollard,6,43.90958887
11,Bristol,bollard,7,3.440618657
12,Bristol,bollard,8,1.271518819
13,Bristol,bollard,9,19.15735705
171,Bristol,bus_stop,1,14.02718108
172,Bristol,bus_stop,2,3.051308736
173,Bristol,bus_stop,3,2.94689571
174,Bristol,bus_stop,4,64.93267617
175,Bristol,bus_stop,5,0.139532574
176,Bristol,bus_stop,6,3.556966327
177,Bristol,bus_stop,7,11.9638104
178,Bristol,bus_stop,8,18.57382507
179,Bristol,bus_stop,9,4.882876012
180,Bristol,bus_stop,10,3.193308456
181,Bristol,bus_stop,11,2.71240675
182,Bristol,bus_stop,12,17.45567847
183,Bristol,bus_stop,13,1.037018279
184,Bristol,bus_stop,14,3.35059439
185,Bristol,bus_stop,15,12.80628709
186,Bristol,bus_stop,16,0.768675345
187,Bristol,bus_stop,17,1.066696037
188,Bristol,bus_stop,18,11.73800027
189,Bristol,bus_stop,19,4.211332256
190,Bristol,bus_stop,20,2.168668508
191,Bristol,bus_stop,21,3.223444316
192,Bristol,bus_stop,22,34.64229672
193,Bristol,bus_stop,23,2.912660577
194,Bristol,bus_stop,24,70.20570654
195,Bristol,bus_stop,25,26.81092312
196,Bristol,bus_stop,26,0.997861106
197,Bristol,bus_stop,27,8.168940839
198,Bristol,bus_stop,28,8.877806287
199,Bristol,bus_stop,29,27.0386057
200,Bristol,bus_stop,30,1.458748999
201,Bristol,bus_stop,31,2.991349815
202,Bristol,call_booth,1,10.29951365
203,Bristol,call_booth,2,0.561226116
204,Bristol,call_booth,3,84.92008825
205,Bristol,call_booth,4,16.08682736
14,Bristol,crossing,1,45.30307067
15,Bristol,crossing,2,30.61920352
16,Bristol,crossing,3,1.403135626
17,Bristol,crossing,4,1.369230388
18,Bristol,crossing,5,3.661583869
19,Bristol,crossing,6,0.694743301
20,Bristol,crossing,7,1.068307847
21,Bristol,crossing,8,0.735281064
22,Bristol,crossing,9,0.263537818
23,Bristol,crossing,10,3.037953396
24,Bristol,crossing,11,57.08415801
25,Bristol,crossing,12,1.790906716
26,Bristol,crossing,13,20.05782179
27,Bristol,crossing,14,80.35596318
28,Bristol,crossing,15,97.89527282
29,Bristol,crossing,16,64.27217328
30,Bristol,crossing,17,3.808564082
31,Bristol,crossing,18,1.977110433
32,Bristol,crossing,19,4.246560286
33,Bristol,crossing,20,2.016499896
34,Bristol,crossing,21,16.40657385
35,Bristol,crossing,22,3.299044059
36,Bristol,crossing,23,11.34159026
37,Bristol,crossing,24,14.64916533
38,Bristol,crossing,25,5.074866551
39,Bristol,crossing,26,3.139186738
40,Bristol,crossing,27,1.665666257
41,Bristol,crossing,28,11.38231668
42,Bristol,crossing,29,16.32172209
43,Bristol,crossing,30,28.91372713
44,Bristol,crossing,31,134.9865406
45,Bristol,crossing,32,90.33391572
46,Bristol,crossing,33,3.320371445
47,Bristol,crossing,34,15.95708003
48,Bristol,crossing,35,2.73708566
49,Bristol,crossing,36,1.695670069
50,Bristol,crossing,37,1.312739455
51,Bristol,crossing,38,3.146610718
52,Bristol,crossing,39,7.228649328
53,Bristol,crossing,40,3.391004635
54,Bristol,crossing,41,19.55191142
55,Bristol,crossing,42,50.16436265
56,Bristol,crossing,43,26.53480896
57,Bristol,crossing,44,2.448749751
58,Bristol,crossing,45,2.491823494
59,Bristol,crossing,46,59.53671878
60,Bristol,crossing,47,49.75883103
61,Bristol,crossing,48,34.00275117
62,Bristol,crossing,49,3.807758452
63,Bristol,crossing,50,115.6740523
64,Bristol,crossing,51,130.0102525
65,Bristol,crossing,52,95.36545484
66,Bristol,crossing,53,3.951541974
67,Bristol,crossing,54,0.986901877
68,Bristol,crossing,55,65.75243128
69,Bristol,crossing,56,120.2760114
70,Bristol,crossing,57,114.6299211
71,Bristol,crossing,58,107.8183475
72,Bristol,crossing,59,97.3767621
73,Bristol,crossing,60,101.0200842
74,Bristol,crossing,61,108.7991341
75,Bristol,crossing,62,109.150261
76,Bristol,crossing,63,117.3713291
77,Bristol,crossing,64,1.499254082
78,Bristol,crossing,65,26.53415331
79,Bristol,crossing,66,18.54186283
80,Bristol,crossing,67,4.59954332
81,Bristol,crossing,68,61.73834013
82,Bristol,crossing,69,71.5512703
83,Bristol,crossing,70,48.60716883
84,Bristol,crossing,71,37.9569308
85,Bristol,crossing,72,5.050783028
86,Bristol,crossing,73,2.048587829
87,Bristol,crossing,74,1.353646818
88,Bristol,crossing,75,0.530100625
89,Bristol,crossing,76,6.733424919
90,Bristol,crossing,77,0.783146192
91,Bristol,crossing,78,4.546374376
92,Bristol,crossing,79,2.372306654
93,Bristol,crossing,80,0.69959233
94,Bristol,crossing,81,2.92784848
95,Bristol,crossing,82,0.571637235
96,Bristol,crossing,83,0.313352033
97,Bristol,crossing,84,1.664813878
98,Bristol,crossing,85,1.103563686
99,Bristol,crossing,86,1.338745389
100,Bristol,crossing,87,0.034108842
101,Bristol,crossing,88,2.239240501
102,Bristol,crossing,89,144.2587595
103,Bristol,crossing,90,1.706144308
104,Bristol,crossing,91,1.740078932
105,Bristol,crossing,92,1.602446707
106,Bristol,crossing,93,2.930677772
107,Bristol,crossing,94,14.89075805
108,Bristol,crossing,95,12.71734948
109,Bristol,crossing,96,0.749502677
110,Bristol,crossing,97,3.37221543
111,Bristol,crossing,98,11.80291298
112,Bristol,crossing,99,25.23211185
113,Bristol,crossing,100,13.75739756
114,Bristol,crossing,101,2.069689508
115,Bristol,crossing,102,16.41336636
116,Bristol,crossing,103,2.880440271
117,Bristol,crossing,104,2.214197801
118,Bristol,crossing,105,1.040373786
119,Bristol,crossing,106,12.738223
120,Bristol,entrance,1,2.645069244
121,Bristol,entrance,2,25.07453594
122,Bristol,entrance,3,56.40637544
123,Bristol,entrance,4,183.0718356
124,Bristol,entrance,5,3.759154043
125,Bristol,entrance,6,3.809529816
126,Bristol,entrance,7,147.4637966
127,Bristol,entrance,8,168.2827742
128,Bristol,entrance,9,73.03858947
129,Bristol,entrance,10,11.98383028
130,Bristol,entrance,11,45.33131716
131,Bristol,entrance,12,3.003775749
132,Bristol,entrance,13,84.42407105
206,Bristol,lamp_post,1,560.9695528
207,Bristol,lamp_post,2,555.680956
208,Bristol,mailbox,1,2.59907136
133,Bristol,outdoor_seating,1,363.1246207
134,Bristol,outdoor_seating,2,0.785735491
135,Bristol,outdoor_seating,3,97.52203487
136,Bristol,outdoor_seating,4,104.7790312
137,Bristol,outdoor_seating,5,242.8282712
209,Bristol,railway_station,1,14.18002436
210,Bristol,railway_station,2,86.50799071
211,Bristol,steps,1,26.13740888
212,Bristol,steps,2,2.018737588
213,Bristol,steps,3,1.382870211
214,Bristol,taxi_rank,1,2.658397667
215,Bristol,taxi_rank,2,57.55819259
216,Bristol,tree,1,18.95973278
217,Bristol,tree,2,53.57279845
218,Bristol,tree,3,15.09950584
219,Bristol,tree,4,38.89371684
220,Bristol,tree,5,62.31484182
221,Bristol,tree,6,81.75735907
222,Bristol,tree,7,98.57982865
223,Bristol,tree,8,110.2701437
224,Bristol,tree,9,363.503192
225,Bristol,tree,10,355.3449031
226,Bristol,tree,11,319.7671961
227,Bristol,tree,12,301.4781783
228,Bristol,tree,13,274.7623691
229,Bristol,tree,14,181.288919
230,Bristol,tree,15,170.4876286
231,Bristol,tree,16,167.72427
232,Bristol,tree,17,164.8987225
233,Bristol,tree,18,159.6397103
234,Bristol,tree,19,155.8238567
235,Bristol,tree,20,153.3968169
236,Bristol,tree,21,156.7239223
237,Bristol,tree,22,41.24985767
144,Bristol,underpass,1,11.1790691
145,Bristol,underpass,2,1.256786189
138,Bristol,waste_basket,1,31.20462438
139,Bristol,waste_basket,2,101.106186
140,Bristol,waste_basket,3,84.18291001
