"","X.uid","City Nodes","Relevant Nodes","city","total_nodes"
"1",59,4,NA,"bristol",34685
"2",64,1,NA,"bristol",51008
"3",70,13,NA,"bristol",61278
"4",131,6,NA,"bristol",94731
"5",165,281,10,"bristol",930389
"6",179,1,NA,"bristol",18386
"7",308,175,9,"bristol",4238405
"8",364,609,1,"bristol",206861
"9",371,1,NA,"bristol",819785
"10",508,304,NA,"bristol",742312
"11",661,5,NA,"bristol",7253
"12",682,3,NA,"bristol",121293
"13",736,7,NA,"bristol",1184827
"14",1030,1,NA,"bristol",22962
"15",1295,6,NA,"bristol",449231
"16",1494,22,NA,"bristol",340
"17",1611,4,NA,"bristol",400490
"18",1970,5,NA,"bristol",2916
"19",2098,1,NA,"bristol",241534
"20",2160,4265,73,"bristol",17384
"21",2231,2,NA,"bristol",199122
"22",2274,1,NA,"bristol",665612
"23",2355,137,NA,"bristol",1045
"24",2492,1,NA,"bristol",123938
"25",3422,1270,4,"bristol",167679
"26",3460,55,NA,"bristol",18425
"27",3516,1,NA,"bristol",13173449
"28",3560,111,NA,"bristol",3321848
"29",3582,10,NA,"bristol",438694
"30",3937,13474,204,"bristol",367445
"31",4049,17,NA,"bristol",150305
"32",4622,3,NA,"bristol",43481
"33",4663,96,NA,"bristol",1115607
"34",4907,1864,1,"bristol",11925
"35",4951,140,5,"bristol",1669368
"36",5121,7,NA,"bristol",199147
"37",5164,242,NA,"bristol",1629499
"38",5352,4,NA,"bristol",36024
"39",5452,6,NA,"bristol",32942
"40",5541,45,NA,"bristol",878223
"41",5589,25,NA,"bristol",151881
"42",5748,1,NA,"bristol",1540675
"43",5926,25,NA,"bristol",843041
"44",5984,1,NA,"bristol",75
"45",6292,2,NA,"bristol",116719
"46",6302,8,NA,"bristol",521
"47",6359,1,NA,"bristol",6223
"48",6462,7,NA,"bristol",305
"49",6967,394,3,"bristol",4072
"50",6975,1,NA,"bristol",179279
"51",7037,76,NA,"bristol",1118950
"52",7437,7,7,"bristol",210518
"53",7630,1,NA,"bristol",273874
"54",7725,5,NA,"bristol",6178
