"","X.version","X.timestamp","city"
"1",8,1623,"Manchester"
"2",3,1918,"Manchester"
"3",3,1918,"Manchester"
"4",3,442,"Manchester"
"5",3,2379,"Manchester"
"6",2,2448,"Manchester"
"7",6,1382,"Manchester"
"8",11,2420,"Manchester"
"9",4,2310,"Manchester"
"10",7,586,"Manchester"
"11",20,1724,"Manchester"
"12",5,1842,"Manchester"
"13",3,37,"Manchester"
"14",7,1174,"Manchester"
"15",7,1730,"Manchester"
"16",7,1796,"Manchester"
"17",8,1717,"Manchester"
"18",7,1174,"Manchester"
"19",6,869,"Manchester"
"20",6,1273,"Manchester"
"21",12,1052,"Manchester"
"22",6,1549,"Manchester"
"23",5,1094,"Manchester"
"24",4,2448,"Manchester"
"25",8,1691,"Manchester"
"26",3,1767,"Manchester"
"27",2,1767,"Manchester"
"28",4,1403,"Manchester"
"29",2,3322,"Manchester"
"30",3,3234,"Manchester"
"31",5,1724,"Manchester"
"32",7,396,"Manchester"
"33",8,635,"Manchester"
"34",8,635,"Manchester"
"35",8,1724,"Manchester"
"36",3,1578,"Manchester"
"37",4,1858,"Manchester"
"38",2,2334,"Manchester"
"39",10,1636,"Manchester"
"40",7,1822,"Manchester"
"41",3,1983,"Manchester"
"42",12,1947,"Manchester"
"43",5,2420,"Manchester"
"44",23,1985,"Manchester"
"45",26,1123,"Manchester"
"46",3,1072,"Manchester"
"47",4,2044,"Manchester"
"48",9,2044,"Manchester"
"49",8,2044,"Manchester"
"50",10,1293,"Manchester"
"51",2,2044,"Manchester"
"52",6,649,"Manchester"
"53",4,533,"Manchester"
"54",2,533,"Manchester"
"55",4,1656,"Manchester"
"56",1,3988,"Manchester"
"57",5,2360,"Manchester"
"58",12,1172,"Manchester"
"59",5,1859,"Manchester"
"60",6,2135,"Manchester"
"61",4,1515,"Manchester"
"62",4,1115,"Manchester"
"63",5,1580,"Manchester"
"64",4,2420,"Manchester"
"65",5,673,"Manchester"
"66",8,525,"Manchester"
"67",4,3091,"Manchester"
"68",10,737,"Manchester"
"69",6,1860,"Manchester"
"70",8,3090,"Manchester"
"71",5,3092,"Manchester"
"72",5,1859,"Manchester"
"73",3,2946,"Manchester"
"74",9,1440,"Manchester"
"75",3,1421,"Manchester"
"76",3,3093,"Manchester"
"77",2,1443,"Manchester"
"78",4,267,"Manchester"
"79",4,1123,"Manchester"
"80",3,2849,"Manchester"
"81",9,1259,"Manchester"
"82",9,1796,"Manchester"
"83",9,1259,"Manchester"
"84",10,1259,"Manchester"
"85",8,1796,"Manchester"
"86",10,1098,"Manchester"
"87",4,2643,"Manchester"
"88",16,448,"Manchester"
"89",15,813,"Manchester"
"90",12,1329,"Manchester"
"91",6,1863,"Manchester"
"92",12,1094,"Manchester"
